[20:43:49.702] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Coordination {1781346275950860}] ()
[20:43:49.702] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Hunter's Boon {1781346275950592}] ()
[20:43:49.703] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Unnatural Might {1781346275950868}] ()
[20:56:05.805] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:56:08.382] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:56:09.502] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:56:11.902] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:56:23.435] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:56:23.435] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:56:24.530] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:56:25.529] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:56:26.529] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:56:43.167] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:56:43.167] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:56:45.760] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:56:46.865] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:56:47.963] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:56:59.862] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:56:59.862] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:01.473] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:57:02.362] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:03.959] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:57:16.493] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:57:16.493] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:20.287] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:57:21.692] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:24.875] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:57:32.989] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:57:32.989] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:35.499] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:57:37.954] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:40.955] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:57:49.268] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:57:49.268] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:51.778] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:57:53.566] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:57:55.766] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:58:07.065] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:58:07.065] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:58:10.143] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:58:11.463] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:58:24.471] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:58:25.379] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:58:25.379] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:58:27.172] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:58:29.810] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:58:31.710] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:58:44.327] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:58:44.327] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:58:46.520] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:58:51.728] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:58:55.028] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:04.245] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:59:04.245] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:59:08.541] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:13.047] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:59:15.146] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:20.558] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:59:20.558] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:59:22.851] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:28.359] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:59:30.458] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:37.771] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:59:37.771] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:59:41.168] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:43.771] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:59:45.670] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:55.785] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:59:55.785] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:59:57.495] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:59:59.385] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:00:02.719] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:00:12.517] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:00:12.517] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:00:15.010] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:00:16.116] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:00:26.620] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:00:28.329] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:00:28.329] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:00:30.322] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:00:32.026] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:00:33.826] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:00:44.291] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:00:44.292] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:00:46.385] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:00:48.389] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:00:50.505] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:00:59.733] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:00:59.734] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:02.714] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:01:04.019] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:11.722] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:01:15.849] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:01:15.849] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:20.444] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:01:23.249] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:26.350] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:01:31.461] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:01:31.462] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:33.054] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:01:38.378] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:43.680] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:01:49.581] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:01:49.582] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:51.369] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:01:53.673] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:01:57.007] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:02:05.386] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:02:05.386] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:02:06.578] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:02:09.083] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:02:14.284] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:02:20.547] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:02:20.548] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:02:20.739] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:02:24.245] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:02:26.144] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:02:38.561] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:02:38.562] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:02:41.155] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:02:42.075] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:02:45.359] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:02:58.128] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:02:58.129] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:03:01.742] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:03:04.442] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:03:05.943] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:03:16.759] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:03:16.759] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:03:17.455] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:03:19.253] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:03:33.873] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:03:33.873] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:03:34.966] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:03:37.150] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:03:38.672] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:03:45.958] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:03:49.768] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:03:49.768] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:03:54.767] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:04:04.372] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:05.497] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:04:05.497] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:04:07.091] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:09.892] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:10.996] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:04:18.199] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:23.728] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:04:23.728] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:04:25.604] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:27.305] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:04:29.007] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:39.223] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:04:39.224] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:04:41.117] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:43.221] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:04:46.838] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:04:55.064] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:04:55.064] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:05:06.704] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:05:07.507] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:05:10.707] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:05:12.817] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:05:12.817] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:05:14.710] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:05:23.736] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:05:26.736] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:05:30.158] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:05:30.159] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:05:31.140] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:05:39.649] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[21:05:42.048] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[21:05:45.758] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[21:05:45.758] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
